Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Югио! Дуэльные монстры — Спецвыпуск,Спешл,Не указано,23 мин,"['Сёнен', 'Приключения', 'Фэнтези', 'Игры']",PG-13,Gallop,Kazuki Takahashi,7.11,https://shikimori.me/animes/5458-yu-gi-oh-duel-monsters-battle-city-special
Вингмен — воин мечты,TV Сериал,47,24 мин,"['Экшен', 'Комедия', 'Романтика', 'Школа', 'Супер']",R+,Toei,Masakazu Katsura,7.11,https://shikimori.me/animes/3021-yume-senshi-wingman
Ваття ПриМаги!,TV Сериал,51,24 мин,['Музыка'],G,Tatsunoko,Kousuke Kobayashi,7.11,https://shikimori.me/animes/49285-waccha-primagi
Сжечь ведьму,Фильм,3,21 мин,"['Сёнен', 'Экшен', 'Фэнтези']",PG-13,Colorido,Tite Kubo,7.11,https://shikimori.me/animes/41468-burn-the-witch
Легенда о Сяохэе Ло: Врата всего живого,ONA,12,8 мин,"['Комедия', 'Сверхъестественное']",PG-13,HMCH,MTJJ,7.11,https://shikimori.me/animes/48791-luo-xiao-hei-zhan-ji-zhongsheng-zhi-men
"Юнкерс, ко мне!",Фильм,Не указано,1 час 39 мин,['Драма'],G,Triangle Staff,Naoto Kine,7.11,https://shikimori.me/animes/1116-junkers-come-here
Прима-кукла,TV Сериал,12,24 мин,"['Фантастика', 'Повседневность']",PG-13,Bibury Animation,Motoki Tanaka,7.11,https://shikimori.me/animes/50917-prima-doll
Ускоренный мир EX,OVA,2,24 мин,"['Экшен', 'Романтика', 'Фантастика', 'Игры', 'Школа']",PG-13,Sunrise,Reki Kawahara,7.1,https://shikimori.me/animes/13939-accel-world-ex
Адати и Симамура,TV Сериал,12,24 мин,"['Сёдзё', 'Романтика', 'Школа']",PG-13,Tezuka,Hitoma Iruma,7.1,https://shikimori.me/animes/39790-adachi-to-shimamura
Звёздные войны: Видения,ONA,9,15 мин,"['Экшен', 'Приключения', 'Фантастика', 'Военное', 'Космос']",PG-13,Production I.G,George Lucas,7.11,https://shikimori.me/animes/49357-star-wars-visions
Алиса и Зороку,TV Сериал,12,23 мин,"['Сэйнэн', 'Приключения', 'Детектив']",PG-13,J.C.Staff,Tetsuya Imai,7.1,https://shikimori.me/animes/34350-alice-to-zouroku
Синий экзорцист: Нечестивый король Киото OVA,OVA,2,24 мин,"['Сёнен', 'Экшен', 'Фэнтези', 'Сверхъестественное']",PG-13,A-1 Pictures,Ijou Okuda,7.1,https://shikimori.me/animes/34465-ao-no-exorcist-kyoto-fujouou-hen-ova
Голубые цветы,TV Сериал,11,22 мин,"['Драма', 'Сёдзё', 'Романтика', 'Школа']",PG-13,J.C.Staff,Takako Shimura,7.1,https://shikimori.me/animes/6164-aoi-hana
Борьба за власть времён Бакумацу: Никто не вечен,ONA,26,24 мин,"['Экшен', 'Драма', 'Исторический', 'Самураи']",PG-13,Sunrise,Ryousuke Takahashi,7.1,https://shikimori.me/animes/x1576-bakumatsu-kikansetsu-irohanihoheto
Ура мечте! Спецвыпуск,Спешл,Не указано,23 мин,"['Повседневность', 'Музыка']",PG-13,Xebec,Kou Nakamura,7.1,https://shikimori.me/animes/34870-bang-dream-asonjatta
Красавица-воин Сейлор Мун: Кристалл,ONA,26,24 мин,"['Фэнтези', 'Романтика', 'Сёдзё']",PG-13,Toei,Naoko Takeuchi,7.1,https://shikimori.me/animes/z14751-bishoujo-senshi-sailor-moon-crystal
Братство чёрной крови,TV Сериал,12,25 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фэнтези', 'Сверхъестественное', 'Вампиры']",R-17,Group TAC,Kouhei Azano,7.1,https://shikimori.me/animes/1498-black-blood-brothers
Стрелок с чёрной скалы OVA,OVA,Не указано,52 мин,"['Экшен', 'Драма', 'Супер']",PG-13,Ordet,Shinobu Yoshioka,7.1,https://shikimori.me/animes/7059-black-rock-shooter-ova
Мальчик-ниндзя Рантаро,TV Сериал,2094 / ?,10 мин,"['Детское', 'Комедия']",G,Ajia-do,Soubee Amako,7.1,https://shikimori.me/animes/1199-nintama-rantarou
Приключения Дигимонов: Золотые Дигименталы,Фильм,2,32 мин,"['Детское', 'Приключения', 'Фэнтези', 'Фантастика']",PG,Toei,Akiyoshi Hongou,7.1,https://shikimori.me/animes/2962-digimon-adventure-02-movies
Маг на полную ставку 6,ONA,12,23 мин,"['Экшен', 'Фэнтези', 'Школа']",PG-13,Foch Films,Luan,7.1,https://shikimori.me/animes/49572-quanzhi-fashi-vi
Перекрёстные войны Дигимонов 2,TV Сериал,24,25 мин,"['Сёнен', 'Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG,Toei,Akiyoshi Hongou,7.1,https://shikimori.me/animes/10444-digimon-xros-wars-aku-no-death-general-to-nanatsu-no-oukoku
Грязная парочка OVA,OVA,10,24 мин,"['Приключения', 'Комедия', 'Фантастика', 'Полиция']",PG-13,Sunrise,Haruka Takachiho,7.1,https://shikimori.me/animes/4200-dirty-pair-ova
Дораэмон: Жестяной Лабиринт,Фильм,Не указано,1 час 40 мин,['Фэнтези'],PG,Не смог,Fujiko F. Fujio,7.1,https://shikimori.me/animes/2659-doraemon-movie-14-nobita-to-buriki-no-labyrinth
Дорохедоро: Дьявольский бонус,Спешл,6,5 мин,"['Сэйнэн', 'Экшен', 'Комедия', 'Фэнтези', 'Ужасы']",R+,MAPPA,Q Hayashida,7.1,https://shikimori.me/animes/41053-dorohedoro-ma-no-omake
Божественная семейка,TV Сериал,13,25 мин,"['Комедия', 'Драма', 'Фэнтези', 'Романтика']",PG-13,Toei,Yoshikazu Kuwashima,7.1,https://shikimori.me/animes/990-kamisama-kazoku
Последняя фантазия 7: На пути к улыбке,OVA,Не указано,28 мин,"['Экшен', 'Фэнтези', 'Супер']",PG-13,A-1 Pictures,Shinji Ishihira,7.1,https://shikimori.me/animes/6151-final-fantasy-vii-on-the-way-to-a-smile-episode-denzel
Корпоративная рабыня хочет быть исцелена лоли-призраком,TV Сериал,12,23 мин,"['Комедия', 'Сверхъестественное', 'Работа', 'Сёнен']",PG-13,Project No.9,Imari Arita,7.1,https://shikimori.me/animes/49160-shachiku-san-wa-youjo-yuurei-ni-iyasaretai
Хорошенькое лекарство 2: Друзья снежного неба,Фильм,Не указано,1 час 11 мин,"['Сёдзё', 'Комедия', 'Фэнтези']",G,Toei,Izumi Toudou,7.1,https://shikimori.me/animes/1931-futari-wa-precure-max-heart-movie-2-yukizora-no-tomodachi
Мобильный воин Гандам: Восьмой взвод МС — Битва с третьим измерением,Спешл,Не указано,9 мин,"['Экшен', 'Меха', 'Военное']",PG-13,Sunrise,Shinya Watada,7.1,https://shikimori.me/animes/17717-kidou-senshi-gundam-dai-08-ms-shoutai-sanjigen-to-no-tatakai
Моспида — оружие выживания,TV Сериал,25,23 мин,"['Экшен', 'Меха', 'Военное']",R+,Tatsunoko,Katsuhisa Yamada,7.1,https://shikimori.me/animes/3670-kikou-souseiki-mospeada
Корона грешника: Рекомбинация,Спешл,Не указано,48 мин,"['Экшен', 'Фантастика', 'Супер']",R-17,Production I.G,Tetsurou Araki,7.1,https://shikimori.me/animes/12419-guilty-crown-kiseki-reassortment
Ползучий хаос Няруко-сан! Простой способ убить врагов,OVA,Не указано,14 мин,"['Комедия', 'Фантастика', 'Пародия']",PG-13,Xebec,Manta Aisora,7.1,https://shikimori.me/animes/18713-haiyore-nyaruko-san-yasashii-teki-no-shitome-kata
Дело ведёт юный детектив Киндаити: Возвращение 2 — Дело инспектора Акэти,Спешл,Не указано,47 мин,"['Сёнен', 'Детектив']",R-17,Toei,Yukihiro Kobayashi,7.1,https://shikimori.me/animes/32376-kindaichi-shounen-no-jikenbo-returns-2nd-season-akechi-keibu-no-jikenbo
Тень любви в тайной комнате,ONA,16,17 мин,"['Детектив', 'Триллер']",PG-13,Lingsanwu,Не смог X2,7.1,https://shikimori.me/animes/50429-aiyou-de-mishi
Реквием из тьмы,TV Сериал,13,24 мин,"['Фэнтези', 'Ужасы', 'Детектив', 'Сверхъестественное', 'Исторический', 'Психологическое']",R-17,TMS,Natsuhiko Kyougoku,7.1,https://shikimori.me/animes/279-kyougoku-natsuhiko-kousetsu-hyaku-monogatari
Кулак Северной звезды: Легенда о Юрии,OVA,Не указано,1 час 4 мин,"['Экшен', 'Приключения', 'Драма', 'Боевые']",R-17,TMS,Hidehito Ueda,7.1,https://shikimori.me/animes/3027-hokuto-no-ken-yuria-den
Любовь и Хина,TV Сериал,24,23 мин,"['Комедия', 'Романтика', 'Этти', 'Гарем', 'Сёнен']",PG-13,Xebec,Ken Akamatsu,7.1,https://shikimori.me/animes/189-love-hina
Счастливые драгоценные зверушки,TV Сериал,52,24 мин,"['Сёдзё', 'Фэнтези']",PG,Comet,Hiroaki Sakurai,7.1,https://shikimori.me/animes/17497-jewelpet-happiness
Волшебник-воин Орфен,TV Сериал,24,25 мин,"['Экшен', 'Приключения', 'Комедия', 'Фэнтези', 'Демоны']",PG-13,J.C.Staff,Yoshinobu Akita,7.1,https://shikimori.me/animes/z1017-majutsushi-orphen
Малышка Маруко-тян: Фильм,Фильм,Не указано,1 час 33 мин,"['Сёдзё', 'Комедия', 'Школа']",G,Nippon,Momoko Sakura,7.1,https://shikimori.me/animes/3203-chibi-maruko-chan-movie
Колокольчик Тирина,Фильм,Не указано,46 мин,"['Приключения', 'Драма', 'Фэнтези']",PG-13,Sunrise,Takashi Yanase,7.1,https://shikimori.me/animes/2199-chirin-no-suzu
Мангака и его ассистентка,TV Сериал,12,13 мин,"['Комедия', 'Этти', 'Гарем', 'Сэйнэн']",PG-13,Zexcs,Jouji Furuta,7.1,https://shikimori.me/animes/21863-mangaka-san-to-assistant-san-to-the-animation
Лихие космические пираты: Бездна гиперпространства,Фильм,Не указано,1 час 32 мин,"['Фантастика', 'Космос']",PG-13,Satelight,Yuuichi Sasamoto,7.1,https://shikimori.me/animes/14817-mouretsu-pirates-abyss-of-hyperspace
Ван-Пис: Приключение на Заводном Острове,Фильм,Не указано,55 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Toei,Eiichiro Oda,7.1,https://shikimori.me/animes/460-one-piece-movie-02-nejimaki-jima-no-daibouken
Ван-Пис: Футбольный король мечты,Фильм,Не указано,5 мин,"['Сёнен', 'Комедия', 'Фэнтези', 'Спорт']",PG-13,Toei,Eiichiro Oda,7.1,https://shikimori.me/animes/2386-one-piece-yume-no-soccer-ou
Образцовый лидер банды,TV Сериал,156,10 мин,"['Сёнен', 'Экшен', 'Драма']",PG-13,AT-X,Hiroshi Motomiya,7.1,https://shikimori.me/animes/17467-otoko-ippiki-gaki-daishou
Город дождя,ONA,Не указано,10 мин,['Драма'],G,Не смог,Hiroyasu Ishida,7.1,https://shikimori.me/animes/10448-rain-town
Похождения Робина Гуда,TV Сериал,52,25 мин,"['Приключения', 'Романтика', 'Исторический']",G,Tatsunoko,Kouichi Mashimo,7.1,https://shikimori.me/animes/2543-robin-hood-no-daibouken
Трёхсторонний клевер,TV Сериал,12,24 мин,"['Комедия', 'Повседневность', 'Школа']",PG-13,Doga Kobo,Cherry Arai,7.1,https://shikimori.me/animes/31564-sansha-sanyou
Бронированные воины Вотомы: Последний красноплечий,OVA,Не указано,54 мин,"['Экшен', 'Драма', 'Фантастика', 'Меха', 'Военное']",PG-13,Sunrise,Ryousuke Takahashi,7.1,https://shikimori.me/animes/2583-soukou-kihei-votoms-the-last-red-shoulder
Мунто,Фильм,Не указано,1 час 30 мин,"['Экшен', 'Фэнтези', 'Сверхъестественное', 'Супер']",PG-13,Kyoto,Yoshiji Kigami,7.1,https://shikimori.me/animes/6169-tenjoubito-to-akutobito-saigo-no-tatakai
Чудовище за соседней партой OVA,OVA,Не указано,27 мин,"['Сёдзё', 'Комедия', 'Романтика', 'Исторический']",PG-13,Brain's Base,Hiro Kaburagi,7.1,https://shikimori.me/animes/16866-tonari-no-kaibutsu-kun-tonari-no-gokudou-kun
"Во всяком случае, это не имеет значения",TV Сериал,43,25 мин,['Комедия'],G,Comet,Koichi Endo,7.1,https://shikimori.me/animes/6917-tsuideni-tonchinkan
Юна и горячие источники с призраками,OVA,4,23 мин,"['Сёнен', 'Комедия', 'Романтика', 'Сверхъестественное', 'Этти', 'Гарем']",R+,Xebec,Tadahiro Miura,7.1,https://shikimori.me/animes/36950-yuragi-sou-no-yuuna-san-ova
Ради своей дочери я смогу победить даже короля демонов,TV Сериал,12,23 мин,"['Фэнтези', 'Повседневность']",PG-13,Maho Film,Yuuji Yanase,7.1,https://shikimori.me/animes/39324-uchi-no-ko-no-tame-naraba-ore-wa-moshikashitara-maou-mo-taoseru-kamo-shirenai
Храбрый Экспресс,TV Сериал,47,24 мин,"['Экшен', 'Приключения', 'Фантастика', 'Меха']",G,Sunrise,Hajime Yatate,7.1,https://shikimori.me/animes/3486-yuusha-tokkyuu-might-gaine
"Больше, чем возлюбленные 2",TV Сериал,10,24 мин,"['Сёнен', 'Комедия', 'Драма']",PG-13,Deen,Miyuki Abe,7.09,https://shikimori.me/animes/33417-super-lovers-2
Принц тенниса: Другая история — Сообщения из прошлого и будущего. Спецвыпуски,Спешл,2,3 мин,['Комедия'],PG-13,M.S.C,Takeshi Konomi,7.09,https://shikimori.me/animes/6999-tennis-no-oujisama-another-story-kako-to-mirai-no-message-specials
Могучий Атом,TV Сериал,193,26 мин,"['Сёнен', 'Экшен', 'Приключения', 'Драма', 'Фантастика', 'Меха']",G,Mushi,Osamu Tezuka,7.09,https://shikimori.me/animes/z2747-tetsuwan-atom
Госпожа Вампир по соседству,TV Сериал,12,23 мин,"['Комедия', 'Сверхъестественное', 'Вампиры']",PG-13,Gokumi,Noriaki Akitaya,7.09,https://shikimori.me/animes/37579-tonari-no-kyuuketsuki-san
Улисс 31: Космическая легенда,TV Сериал,26,25 мин,"['Экшен', 'Приключения', 'Фантастика', 'Космос']",G,TMS,Tadao Nagahama,7.09,https://shikimori.me/animes/2331-uchuu-densetsu-ulysses-31
Рыцарь-вампир: Виновный,TV Сериал,13,24 мин,"['Сёдзё', 'Драма', 'Детектив', 'Романтика', 'Сверхъестественное', 'Вампиры']",PG-13,Deen,Matsuri Hino,7.09,https://shikimori.me/animes/4752-vampire-knight-guilty
Улица всех святых 4,ONA,12,4 мин,"['Комедия', 'Сверхъестественное']",PG-13,Fenz,Не смог X2,7.1,https://shikimori.me/animes/53859-wan-sheng-jie-4
Ярче предрассветной лазури,TV Сериал,12,23 мин,"['Комедия', 'Романтика', 'Фантастика', 'Школа']",PG-13,Daume,Masahiko Oota,7.09,https://shikimori.me/animes/1543-yoake-mae-yori-ruriiro-na-crescent-love
"Да, нет или наверное?",Фильм,Не указано,53 мин,"['Сёнен', 'Драма']",PG-13,Lesprit,Michi Ichiho,7.09,https://shikimori.me/animes/40646-yes-ka-no-ka-hanbun-ka
Чудотворные рыцари,TV Сериал,39,23 мин,"['Сёнен', 'Приключения', 'Фантастика', 'Самураи']",PG-13,Sunrise,Hajime Yatate,7.09,https://shikimori.me/animes/1264-yoroiden-samurai-troopers
Туманный холм пяти стихий ONA,ONA,Не указано,5 мин,"['Экшен', 'Фэнтези']",PG-13,Не смог,Не смог X2,7.09,https://shikimori.me/animes/51195-wu-shan-wu-xing
Дракон желаний,Фильм,Не указано,1 час 38 мин,"['Детское', 'Комедия', 'Фэнтези']",PG,Не смог,Не смог X2,7.09,https://shikimori.me/animes/48125-xuyuan-shenlong
Голова-утиль,Фильм,Не указано,1 час 40 мин,"['Экшен', 'Приключения', 'Комедия', 'Фантастика', 'Триллер']",R-17,Yamiken,Takahide Hori,7.09,https://shikimori.me/animes/39833-junk-head
Чёрный призыватель,TV Сериал,12,23 мин,"['Экшен', 'Фэнтези']",PG-13,Satelight,Mayoidoufu,7.09,https://shikimori.me/animes/51064-kuro-no-shoukanshi
Карнавал,TV Сериал,13,24 мин,"['Дзёсей', 'Экшен', 'Фэнтези', 'Детектив', 'Фантастика']",PG-13,Manglobe,Touya Mikanagi,7.09,https://shikimori.me/animes/16035-karneval-tv
Мобильный воин Гандам Зета: Новый перевод — Наследник звёзд,Фильм,Не указано,1 час 34 мин,"['Драма', 'Фантастика', 'Меха', 'Военное', 'Космос']",PG-13,Sunrise,Hajime Yatate,7.09,https://shikimori.me/animes/1967-kidou-senshi-z-gundam-i-hoshi-wo-tsugu-mono
Канал А + Улыбка,OVA,2,25 мин,"['Комедия', 'Школа']",PG-13,Gokumi,Satoru Kousaki,7.09,https://shikimori.me/animes/11339-a-channel-smile
Форма голоса: Спецвыпуски,Спешл,2,2 мин,['Музыка'],PG-13,Kyoto,Yoshitoki Ooima,7.09,https://shikimori.me/animes/35566-koe-no-katachi-specials
Гайвер,OVA,6,29 мин,"['Экшен', 'Ужасы', 'Фантастика', 'Супер']",PG-13,Visual 80,Yoshiki Takaya,7.09,https://shikimori.me/animes/6016-kyoushoku-soukou-guyver-1989
Махороматик: Летний спецвыпуск,Спешл,Не указано,23 мин,"['Комедия', 'Романтика', 'Фантастика', 'Этти', 'Сэйнэн']",R+,Gainax,Bunjuro Nakayama,7.09,https://shikimori.me/animes/z631-mahoromatic-summer-special
Завтрашний Джо. Фильм 1,Фильм,Не указано,2 часа 33 мин,"['Сёнен', 'Экшен', 'Драма', 'Спорт']",PG-13,Mushi,Tetsuya Chiba,7.09,https://shikimori.me/animes/2920-ashita-no-joe-movie
Маленькие спасатели,TV Сериал,45,24 мин,"['Сёнен', 'Приключения', 'Комедия', 'Фантастика', 'Меха']",G,Sunrise,Hajime Yatate,7.09,https://shikimori.me/animes/3837-mashin-eiyuuden-wataru
Руководство сотен демонов,ONA,12,24 мин,"['Приключения', 'Фэнтези', 'Детектив', 'Сверхъестественное', 'Исторический']",PG-13,Haoliners Animation League,Не смог X2,7.09,https://shikimori.me/animes/41224-bai-yao-pu
Мазинкайзер против Генерала Тьмы,OVA,Не указано,56 мин,"['Экшен', 'Меха']",R-17,Brain's Base,Go Nagai,7.09,https://shikimori.me/animes/2734-mazinkaiser-shitou-ankoku-dai-shogun
Чёрная пуля,TV Сериал,13,24 мин,"['Экшен', 'Детектив', 'Фантастика']",R-17,Kinema Citrus,Shiden Kanzaki,7.09,https://shikimori.me/animes/z20787-black-bullet
Чёрный кот: Эпизод 24 — Упрямый кот,Спешл,Не указано,24 мин,"['Сёнен', 'Экшен', 'Приключения', 'Комедия', 'Фантастика', 'Супер']",PG-13,Gonzo,Kentarou Yabuki,7.09,https://shikimori.me/animes/2589-black-cat-tv-toozakaru-neko
Мазафакер,Фильм,Не указано,1 час 33 мин,"['Экшен', 'Фантастика', 'Психологическое', 'Супер']",R-17,4C,Guillaume Renard,7.09,https://shikimori.me/animes/38292-mutafukaz
Непобедимая разносчица рамэна,TV Сериал,12,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Боевые', 'Пародия']",PG-13,Telecom Animation Film,Jun Sadogawa,7.09,https://shikimori.me/animes/1738-muteki-kanban-musume
"Пожалуйста, спасите мою Землю!",OVA,6,30 мин,"['Сёдзё', 'Драма', 'Фантастика']",PG-13,Production I.G,Saki Hiwatari,7.09,https://shikimori.me/animes/526-boku-no-chikyuu-wo-mamotte
Мув-Лув: Альтернатива — Полное затмение,TV Сериал,24,24 мин,"['Экшен', 'Фантастика', 'Меха', 'Военное']",R+,Satelight,Masaomi Andou,7.09,https://shikimori.me/animes/11021-muv-luv-alternative-total-eclipse
Кризис каждый день: Токио 2040,TV Сериал,26,24 мин,"['Сёнен', 'Приключения', 'Фантастика', 'Меха']",R-17,AIC,Toshimitsu Suzuki,7.09,https://shikimori.me/animes/568-bubblegum-crisis-tokyo-2040
Насу: Перелётные птицы с чемоданами,OVA,Не указано,54 мин,"['Сэйнэн', 'Драма', 'Спорт']",PG-13,Madhouse,Iou Kuroda,7.09,https://shikimori.me/animes/3111-nasu-suitcase-no-wataridori
Крошечная снежная фея Сахарок,TV Сериал,24,24 мин,"['Комедия', 'Фэнтези']",PG,J.C.Staff,Haruka Aoi,7.09,https://shikimori.me/animes/z831-chicchana-yukitsukai-sugar
Ниндзя Нобунаги,TV Сериал,26,3 мин,"['Комедия', 'Исторический']",PG-13,TMS,Naoki Shigeno,7.09,https://shikimori.me/animes/z32829-nobunaga-no-shinobi
Маленькие спасатели 3,TV Сериал,51,24 мин,"['Экшен', 'Приключения', 'Комедия', 'Меха']",G,Sunrise,Shuji Iuchi,7.09,https://shikimori.me/animes/3432-chou-mashin-eiyuuden-wataru
Ниндзя Нобунаги 3,TV Сериал,26,3 мин,"['Комедия', 'Исторический']",PG-13,TMS,Naoki Shigeno,7.09,https://shikimori.me/animes/z37126-nobunaga-no-shinobi-anegawa-ishiyama-hen
Ван-Пис. Фильм,Фильм,Не указано,50 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",PG-13,Toei,Eiichiro Oda,7.09,https://shikimori.me/animes/459-one-piece-movie-01
Дораэмон: Маленькая Космическая Война,Фильм,Не указано,1 час 48 мин,"['Приключения', 'Комедия', 'Фантастика', 'Космос', 'Детское', 'Сёнен']",PG,Shin-Ei,Fujiko F. Fujio,7.09,https://shikimori.me/animes/44025-doraemon-movie-41-nobita-no-little-star-wars
Реал Драйв,TV Сериал,26,22 мин,"['Экшен', 'Фантастика']",R-17,Production I.G,Kazuhiro Furuhashi,7.09,https://shikimori.me/animes/3363-rd-sennou-chousashitsu
Башня Друаги: Герои Урука — Спецвыпуск,Спешл,Не указано,24 мин,"['Приключения', 'Фэнтези']",PG-13,Gonzo,Gen Fukunaga,7.09,https://shikimori.me/animes/4798-druaga-no-tou-the-aegis-of-uruk-jil-no-bouken
Девушки и танки: Рекап,ONA,Не указано,2 часа 2 мин,"['Экшен', 'Военное', 'Школа']",PG-13,Actas,Не смог X2,7.09,https://shikimori.me/animes/36783-girls-panzer-dai-63-kai-senshadou-zenkoku-koukousei-taikai-recap
"Мунто: Мир, отражённый в глазах девушки, смотрящей на небо",TV Сериал,9,24 мин,"['Экшен', 'Фэнтези', 'Романтика', 'Супер']",PG-13,Kyoto,Yoshiji Kigami,7.09,https://shikimori.me/animes/5702-sora-wo-miageru-shoujo-no-hitomi-ni-utsuru-sekai
Милое лекарство: Зарядись счастьем! — Балерина Королевства Кукол,Фильм,Не указано,1 час 11 мин,['Фэнтези'],G,Toei,Izumi Toudou,7.09,https://shikimori.me/animes/23083-happiness-charge-precure-movie-ningyou-no-kuni-no-ballerina
.ха,Фильм,Не указано,1 час 33 мин,"['Экшен', 'Фэнтези', 'Фантастика', 'Игры']",PG-13,CyberConnect2,Hiroshi Matsuyama,7.08,https://shikimori.me/animes/z3269-hack-g-u-trilogy
Акварион,TV Сериал,26,24 мин,"['Экшен', 'Романтика', 'Фантастика', 'Сверхъестественное', 'Меха', 'Супер']",PG-13,Satelight,Shouji Kawamori,7.09,https://shikimori.me/animes/478-sousei-no-aquarion
Космические приключения Кобры,Фильм,Не указано,1 час 39 мин,"['Экшен', 'Приключения', 'Фантастика', 'Космос']",R+,TMS,Buichi Terasawa,7.09,https://shikimori.me/animes/z2452-space-adventure-cobra
Таинственный сад,TV Сериал,39,25 мин,"['Драма', 'Исторический']",G,Gakken,Frances Eliza Hodgson Burnett,7.08,https://shikimori.me/animes/2810-anime-himitsu-no-hanazono
Дело ведёт юный детектив Киндаити,Фильм,Не указано,1 час 35 мин,"['Сёнен', 'Детектив', 'Школа']",PG-13,Toei,Shin Kibayashi,7.08,https://shikimori.me/animes/2077-kindaichi-shounen-no-jikenbo-movie-1-operazakan-aratanaru-satsujin
Другой мир,ONA,3,10 мин,['Фантастика'],PG-13,Graphinica,Не смог X2,7.08,https://shikimori.me/animes/40295-another-world
Акварион: Эвол,TV Сериал,26,24 мин,"['Экшен', 'Фэнтези', 'Романтика', 'Фантастика', 'Меха']",PG-13,Satelight,Shouji Kawamori,7.08,https://shikimori.me/animes/10447-aquarion-evol
Рыцари и магия,TV Сериал,13,24 мин,"['Экшен', 'Фэнтези', 'Меха', 'Школа']",PG-13,8bit,Nobuhiro Oosawa,7.08,https://shikimori.me/animes/34104-knight-s-magic
Красавица-воин Сейлор Мун Эр: Спецвыпуск,Спешл,Не указано,17 мин,['Сёдзё'],PG-13,Toei,Harume Kosaka,7.08,https://shikimori.me/animes/z2937-bishoujo-senshi-sailor-moon-r-make-up-sailor-senshi
Стальной Джиг,TV Сериал,46,22 мин,"['Сёнен', 'Экшен', 'Фантастика', 'Демоны', 'Меха']",PG-13,Toei,Go Nagai,7.08,https://shikimori.me/animes/4198-koutetsu-jeeg
Коты-самураи,TV Сериал,54,24 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Меха', 'Супер']",G,Tatsunoko,Kunitoshi Okajima,7.08,https://shikimori.me/animes/1261-kyattou-ninden-teyandee
Син-тян 2015,Фильм,Не указано,1 час 43 мин,"['Сэйнэн', 'Экшен', 'Приключения', 'Комедия']",G,Shin-Ei,Yoshito Usui,7.08,https://shikimori.me/animes/27653-crayon-shin-chan-movie-23-ora-no-hikkoshi-monogatari-saboten-daisuugeki
Лострейдж: Объединение «WIXOSS»,TV Сериал,12,23 мин,['Психологическое'],R-17,J.C.Staff,Risako Yoshida,7.08,https://shikimori.me/animes/34607-lostorage-conflated-wixoss
Медарот,TV Сериал,52,24 мин,"['Сёнен', 'Приключения', 'Комедия', 'Фантастика']",PG,Bee Train,Tensai Okamura,7.08,https://shikimori.me/animes/1138-medarot
Ди-Ги Карат Нё,TV Сериал,104,12 мин,"['Комедия', 'Фэнтези', 'Фантастика']",G,Madhouse,Hiroaki Sakurai,7.08,https://shikimori.me/animes/1683-di-gi-charat-nyo
Ясяхимэ: Принцесса-полудемон — Вторая глава,TV Сериал,24,24 мин,"['Экшен', 'Приключения', 'Фэнтези', 'Исторический']",PG-13,Sunrise,Rumiko Takahashi,7.09,https://shikimori.me/animes/48505-hanyou-no-yashahime-sengoku-otogizoushi-ni-no-shou
Опасные приключения в параллельной реальности,TV Сериал,13,25 мин,"['Сёнен', 'Экшен', 'Комедия', 'Фантастика', 'Гарем', 'Меха']",PG-13,AIC,Katsuhito Akiyama,7.08,https://shikimori.me/animes/992-dual-parallel-lun-lun-monogatari
Нэгима?! Летний спецвыпуск?!,OVA,Не указано,27 мин,"['Комедия', 'Фэнтези', 'Романтика', 'Этти']",PG-13,Shaft,Ken Akamatsu,7.08,https://shikimori.me/animes/1732-negima-natsu-special
Хорошенькое лекарство,TV Сериал,49,24 мин,"['Экшен', 'Комедия', 'Фэнтези']",G,Toei,Izumi Toudou,7.08,https://shikimori.me/animes/603-futari-wa-precure
Покемон: Император хрустальной башни — Энтэй,Фильм,Не указано,1 час 31 мин,"['Детское', 'Экшен', 'Приключения', 'Комедия', 'Драма', 'Фэнтези']",PG,OLM,Satoshi Tajiri,7.08,https://shikimori.me/animes/1118-pokemon-movie-03-kesshoutou-no-teiou-entei
Восхождение в тени: Мини-аниме!,ONA,17,2 мин,"['Комедия', 'Фэнтези']",PG-13,PuYUKAI,Daisuke Aizawa,7.09,https://shikimori.me/animes/53406-kagejitsu
Готика: Рекап,Спешл,Не указано,13 мин,"['Сёнен', 'Детектив', 'Исторический']",R-17,Bones,Kazuki Sakuraba,7.08,https://shikimori.me/animes/10504-gosick-utsukushiki-kaibutsu-wa-konton-no-sen-wo-shimiru
При Пара: Каждый сияет! Звезда Кирарина в прямом эфире!,Фильм,Не указано,1 час 5 мин,"['Сёдзё', 'Повседневность', 'Музыка', 'Школа']",PG,Tatsunoko,Masao Ookubo,7.08,https://shikimori.me/animes/34304-pripara-movie-mi-nna-de-kagayake-kirarin-star-live
