Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Гридмен. Фильм,Фильм,Не указано,2 часа 5 мин,"['Экшен', 'Фантастика', 'Меха']",PG-13,Trigger,Akira Amemiya,6.75,https://shikimori.me/animes/53850-ssss-gridman-movie
Драконий жемчуг: Спящая принцесса в замке дьявола,Фильм,Не указано,45 мин,"['Сёнен', 'Экшен', 'Приключения', 'Комедия', 'Фэнтези', 'Фантастика', 'Супер']",PG-13,Toei,Akira Toriyama,6.74,https://shikimori.me/animes/891-dragon-ball-movie-2-majinjou-no-nemurihime
Покемон: Чемпионат мира 2023,ONA,Не указано,1 мин,['Детское'],G,CoMix Wave Films,Asuka Dokai,6.73,https://shikimori.me/animes/56064-kimi-ni-aeta
Собачье счастье,TV Сериал,39,25 мин,['Приключения'],Не указано,Vega,Hiroshi Saitou,6.74,https://shikimori.me/animes/3355-fortune-dogs
Щелкунчик Китаро,TV Сериал,65,25 мин,"['Приключения', 'Комедия', 'Фэнтези', 'Ужасы', 'Сверхъестественное']",G,Toei,Shigeru Mizuki,6.74,https://shikimori.me/animes/z5688-gegege-no-kitarou-1968
Девушки и танки: Спецвыпуски,Спешл,2,3 мин,['Комедия'],PG-13,Actas,Не смог X2,6.74,https://shikimori.me/animes/32511-girls-panzer-nihon-senshadou-renmei-news
Сеть мечей: Благородная рыцарская душа,ONA,12,17 мин,"['Экшен', 'Приключения', 'Комедия', 'Исторический', 'Боевые']",PG-13,Shengying,Youwuyueshan,6.74,https://shikimori.me/animes/39419-jian-wang-3-xia-gan-yi-dan-shen-jianxin
Карате — сумасшедшая жизнь,TV Сериал,47,24 мин,"['Приключения', 'Спорт', 'Исторический', 'Боевые']",PG-13,TMS,Ikki Kajiwara,6.74,https://shikimori.me/animes/7479-karate-baka-ichidai
Фантазия Гранблю 2,TV Сериал,12,23 мин,"['Приключения', 'Фэнтези']",PG-13,MAPPA,Yui Umemoto,6.74,https://shikimori.me/animes/z36587-granblue-fantasy-the-animation-season-2
Военный парад: Новые звуки марша,TV Сериал,12,23 мин,"['Экшен', 'Драма', 'Романтика', 'Фантастика', 'Меха', 'Военное']",PG-13,J.C.Staff,Katsushi Sakurabi,6.74,https://shikimori.me/animes/266-gunparade-march-arata-naru-kougunka
Танец мечей,TV Сериал,13,23 мин,"['Экшен', 'Фэнтези', 'Исторический', 'Самураи']",PG-13,ufotable,Toshiyuki Shirai,6.74,https://shikimori.me/animes/z33018-katsugeki-touken-ranbu
Три тысячи лет практики ци,ONA,16,19 мин,"['Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG-13,Foch Films,Не смог X2,6.74,https://shikimori.me/animes/50538-lian-qi-lianle-3000-nian
Кикайдер 01,OVA,4,27 мин,"['Сёнен', 'Экшен', 'Приключения', 'Драма', 'Фантастика', 'Меха']",PG-13,Radix,Shoutarou Ishinomori,6.74,https://shikimori.me/animes/1768-kikaider-01-the-animation
